City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
395,caohai,CN,26.87,104.28,52.88,98,98,3.42,light rain
396,marsa matruh,EG,31.35,27.25,78.8,69,0,5.82,clear sky
397,henties bay,NA,-22.12,14.28,55.99,90,0,1.99,clear sky
398,ossora,RU,59.24,163.07,39.67,73,99,6.24,overcast clouds
399,baglung,NP,28.27,83.59,65.86,69,6,4.36,clear sky
400,puerto lempira,HN,15.27,-83.77,89.6,70,40,5.82,scattered clouds
401,tulum,MX,20.22,-87.47,84.2,79,75,13.87,broken clouds
402,hudson bay,CA,52.85,-102.38,61.72,45,100,14.27,overcast clouds
403,el cobre,CU,20.05,-75.95,87.8,66,40,12.75,scattered clouds
404,burnie,AU,-41.07,145.92,48.99,82,100,17.0,light rain
405,murgab,TM,37.5,61.97,60.8,48,0,4.7,clear sky
406,jijiga,ET,9.35,42.8,63.01,44,0,8.77,clear sky
407,arbazh,RU,57.68,48.31,35.46,83,0,4.32,clear sky
408,oktyabrskiy,RU,54.48,53.47,38.7,75,0,6.33,clear sky
409,hualmay,PE,-11.1,-77.61,66.99,67,10,9.04,clear sky
410,sola,VU,-13.88,167.55,80.6,78,75,5.82,broken clouds
411,klaksvik,FO,62.23,-6.59,50.0,93,100,8.05,overcast clouds
412,coahuayana,MX,18.73,-103.68,82.4,65,20,4.94,few clouds
413,naters,CH,46.33,7.99,52.0,78,100,8.01,light rain
414,vostok,RU,46.49,135.88,39.56,86,100,4.38,overcast clouds
415,batagay-alyta,RU,67.8,130.41,24.06,88,16,5.21,few clouds
416,fort frances,CA,48.6,-93.4,55.0,34,20,10.29,few clouds
417,hofn,IS,64.25,-15.21,46.85,85,97,0.69,overcast clouds
418,port-gentil,GA,-0.72,8.78,77.0,100,75,6.93,moderate rain
419,council bluffs,US,41.26,-95.86,62.01,51,20,5.82,few clouds
420,dwarka,IN,22.24,68.97,81.64,77,0,10.38,clear sky
421,zalantun,CN,48.0,122.72,37.13,80,50,12.26,scattered clouds
422,oistins,BB,13.07,-59.53,87.8,70,40,12.75,scattered clouds
423,riberalta,BO,-10.98,-66.1,93.2,79,75,5.82,broken clouds
424,zaysan,KZ,47.47,84.87,49.64,48,9,7.38,clear sky
425,ugoofaaru,MV,5.67,73.0,82.31,76,41,13.35,scattered clouds
426,hirado,JP,33.36,129.55,66.99,76,100,16.49,overcast clouds
